biological_sex,satisfaction_rating
Male,7.0
Male,9.0
Male,6.0
Male,9.0
Male,9.0
Male,7.0
Male,9.0
Male,9.0
Male,8.0
Male,10.0
Male,8.0
Male,10.0
Male,8.0
Male,6.0
Male,6.0
Male,10.0
Male,9.0
Male,6.0
Male,6.0
Male,7.0
Male,8.0
Male,8.0
Male,10.0
Male,10.0
Male,10.0
Male,8.0
Male,6.0
Male,6.0
Male,7.0
Male,7.0
Male,10.0
Male,
Male,8.0
Male,9.0
Male,8.0
Male,7.0
Male,6.0
Male,8.0
Male,6.0
Male,7.0
Male,10.0
Male,7.0
Male,9.0
Male,9.0
Male,9.0
Male,6.0
Male,6.0
Male,10.0
Male,10.0
Male,9.0
Male,6.0
Male,10.0
Male,6.0
Male,7.0
Male,7.0
Male,9.0
Male,9.0
Male,
Male,9.0
Male,7.0
Male,10.0
Male,7.0
Male,6.0
Male,8.0
Male,6.0
Male,7.0
Male,9.0
Male,9.0
Male,8.0
Male,8.0
Male,9.0
Male,9.0
Male,10.0
Male,6.0
Male,9.0
Male,6.0
Male,7.0
Male,7.0
Male,7.0
Male,7.0
Male,10.0
Male,7.0
Male,7.0
Male,6.0
Male,6.0
Male,10.0
Male,10.0
Male,9.0
Male,8.0
Male,6.0
Male,10.0
Male,10.0
Male,7.0
Male,9.0
Male,8.0
Male,10.0
Male,10.0
Male,9.0
Male,8.0
Male,10.0
Male,8.0
Male,8.0
Male,7.0
Male,9.0
Male,6.0
Male,9.0
Male,6.0
Male,6.0
Male,
Male,8.0
Male,7.0
Male,9.0
Male,6.0
Male,6.0
Male,8.0
Male,10.0
Male,8.0
Male,6.0
Male,9.0
Male,7.0
Male,8.0
Male,7.0
Male,7.0
Male,8.0
Male,9.0
Male,7.0
Male,6.0
Male,8.0
Male,6.0
Male,8.0
Male,10.0
Male,8.0
Male,10.0
Male,6.0
Male,6.0
Male,8.0
Male,7.0
Male,10.0
Male,7.0
Male,8.0
Male,8.0
Male,8.0
Male,9.0
Male,7.0
Male,6.0
Male,8.0
Male,9.0
Male,8.0
Male,9.0
Male,10.0
Male,7.0
Male,9.0
Male,8.0
Male,9.0
Male,10.0
Male,9.0
Male,6.0
Male,10.0
Male,9.0
Male,10.0
Male,7.0
Male,9.0
Male,10.0
Male,6.0
Male,9.0
Male,9.0
Male,6.0
Male,8.0
Male,9.0
Male,9.0
Male,7.0
Male,7.0
Male,9.0
Male,8.0
Male,9.0
Male,10.0
Male,
Male,6.0
Male,6.0
Male,7.0
Male,7.0
Male,
Male,9.0
Male,6.0
Male,7.0
Male,8.0
Male,10.0
Male,8.0
Male,7.0
Male,7.0
Male,
Male,7.0
Male,
Male,6.0
Male,9.0
Male,7.0
Male,9.0
Male,9.0
Male,9.0
Male,8.0
Male,9.0
Male,6.0
Male,7.0
Male,6.0
Male,7.0
Male,6.0
Male,7.0
Male,7.0
Male,6.0
Male,8.0
Male,6.0
Male,8.0
Male,7.0
Male,10.0
Male,9.0
Male,7.0
Male,8.0
Male,8.0
Male,9.0
Male,10.0
Male,6.0
Male,7.0
Male,8.0
Male,9.0
Male,9.0
Male,6.0
Male,
Male,9.0
Male,10.0
Male,7.0
Male,9.0
Male,6.0
Male,8.0
Male,7.0
Male,7.0
Male,9.0
Male,8.0
Male,9.0
Male,7.0
Male,6.0
Male,8.0
Male,8.0
Male,8.0
Male,10.0
Male,9.0
Male,8.0
Male,6.0
Male,10.0
Male,10.0
Male,8.0
Male,9.0
Male,9.0
Male,7.0
Male,9.0
Male,8.0
Male,8.0
Male,7.0
Male,6.0
Male,10.0
Male,9.0
Male,7.0
Male,10.0
Male,10.0
Male,8.0
Male,7.0
Male,7.0
Male,6.0
Male,9.0
Male,
Male,8.0
Male,10.0
Male,8.0
Male,
Male,8.0
Male,9.0
Male,9.0
Male,6.0
Male,9.0
Male,7.0
Male,10.0
Male,9.0
Male,7.0
Male,8.0
Male,8.0
Male,6.0
Male,9.0
Male,6.0
Male,10.0
Male,6.0
Male,10.0
Male,9.0
Male,7.0
Male,8.0
Male,9.0
Male,8.0
Male,9.0
Male,6.0
Male,7.0
Male,9.0
Male,8.0
Male,6.0
Male,7.0
Male,
Male,10.0
Male,9.0
Male,10.0
Male,
Male,10.0
Male,6.0
Male,9.0
Male,8.0
Male,10.0
Male,10.0
Male,10.0
Male,
Male,7.0
Male,7.0
Male,7.0
Male,7.0
Male,6.0
Male,9.0
Male,10.0
Male,10.0
Male,7.0
Male,8.0
Male,8.0
Male,7.0
Male,7.0
Male,
Male,6.0
Male,7.0
Male,8.0
Male,6.0
Male,9.0
Male,7.0
Male,8.0
Male,7.0
Male,9.0
Male,7.0
Male,9.0
Male,7.0
Male,9.0
Male,10.0
Male,8.0
